FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-106,-57,-96,23,66,2.81,10.5,0.01,0.01,-1.62,9.65,2023/11/28 18:11,1,0
-106,-58,-96,25,13,2.81,10.56,0,0.01,-1.72,9.63,2023/11/28 18:11,1,0
-106,-57,-96,20,-54,2.81,10.69,0.01,0.01,-1.68,9.66,2023/11/28 18:11,1,0
-106,-57,-96,24,166,2.81,10.81,0.01,-0.02,-1.64,9.75,2023/11/28 18:11,1,0
-106,-57,-96,24,17,2.81,11.06,0.05,-0.03,-1.88,9.54,2023/11/28 18:11,1,0
-106,-57,-96,23,66,2.81,10.5,0.01,0.01,-1.62,9.65,2023/11/28 18:11,1,0
-106,-58,-96,25,13,2.81,10.56,0,0.01,-1.72,9.63,2023/11/28 18:11,1,0
-106,-57,-96,20,-54,2.81,10.69,0.01,0.01,-1.68,9.66,2023/11/28 18:11,1,0
-106,-57,-96,24,166,2.81,10.81,0.01,-0.02,-1.64,9.75,2023/11/28 18:11,1,0
-106,-57,-96,24,17,2.81,11.06,0.05,-0.03,-1.88,9.54,2023/11/28 18:11,1,0
